tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
625,17:50.5,28:15.9,3681,Grand St,40.71517768,-74.03768331,3186,Grove St PATH,40.71958612,-74.04311746,42157,Customer,1970,0
236,18:11.3,22:07.9,3185,City Hall,40.7177325,-74.043845,3213,Van Vorst Park,40.71848892,-74.04772663,39772,Customer,1970,0
137,20:09.2,22:26.7,3185,City Hall,40.7177325,-74.043845,3276,Marin Light Rail,40.71458404,-74.04281706,46935,Customer,1970,0
1935,21:02.2,53:17.6,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,40954,Customer,1970,0
825,21:05.1,34:50.3,3199,Newport Pkwy,40.7287448,-74.0321082,3185,City Hall,40.7177325,-74.043845,42432,Subscriber,1962,1
271,21:05.4,25:36.6,3186,Grove St PATH,40.71958612,-74.04311746,3639,Harborside,40.7192517,-74.034234,32440,Customer,1970,0
2447,22:22.2,03:09.6,3214,Essex Light Rail,40.7127742,-74.0364857,3202,Newport PATH,40.7272235,-74.0337589,31483,Customer,1970,0
1233,22:24.2,42:57.6,3196,Riverview Park,40.7443187,-74.0439909,3639,Harborside,40.7192517,-74.034234,40168,Customer,1970,0
1220,22:27.7,42:47.8,3196,Riverview Park,40.7443187,-74.0439909,3639,Harborside,40.7192517,-74.034234,34048,Customer,1970,0
115,22:53.9,24:49.1,3276,Marin Light Rail,40.71458404,-74.04281706,3185,City Hall,40.7177325,-74.043845,44505,Customer,1970,0
1465,23:13.2,47:38.2,3199,Newport Pkwy,40.7287448,-74.0321082,3681,Grand St,40.71517768,-74.03768331,42191,Customer,1970,0
1383,24:14.6,47:18.0,3199,Newport Pkwy,40.7287448,-74.0321082,3681,Grand St,40.71517768,-74.03768331,54265,Customer,1970,0
225,25:10.2,28:56.0,3276,Marin Light Rail,40.71458404,-74.04281706,3275,Columbus Drive,40.7183552,-74.03891444,44911,Customer,1970,0
3080,26:30.0,17:50.9,3270,Jersey & 6th St,40.72528911,-74.04557168,3192,Liberty Light Rail,40.7112423,-74.0557013,47257,Customer,1970,0
4508,26:51.6,41:59.9,3270,Jersey & 6th St,40.72528911,-74.04557168,3192,Liberty Light Rail,40.7112423,-74.0557013,45464,Customer,1970,0
1007,27:41.5,44:28.6,3214,Essex Light Rail,40.7127742,-74.0364857,3214,Essex Light Rail,40.7127742,-74.0364857,42177,Customer,1970,0
347,27:45.4,33:33.3,3206,Hilltop,40.7311689,-74.0575736,3203,Hamilton Park,40.72759597,-74.04424731,47256,Customer,1970,0
2390,28:25.5,08:16.5,3275,Columbus Drive,40.7183552,-74.03891444,3192,Liberty Light Rail,40.7112423,-74.0557013,40056,Customer,1970,0
1339,28:45.5,51:04.5,3638,Washington St,40.7242941,-74.0354826,3205,JC Medical Center,40.71653978,-74.04963791,44737,Customer,1970,0
232,29:13.5,33:05.8,3276,Marin Light Rail,40.71458404,-74.04281706,3187,Warren St,40.7211236,-74.03805095,48922,Customer,1970,0
382,29:35.2,35:57.3,3186,Grove St PATH,40.71958612,-74.04311746,3681,Grand St,40.71517768,-74.03768331,44872,Customer,1970,0
1277,29:52.6,51:10.1,3638,Washington St,40.7242941,-74.0354826,3205,JC Medical Center,40.71653978,-74.04963791,41336,Customer,1970,0
2261,30:28.9,08:10.0,3275,Columbus Drive,40.7183552,-74.03891444,3192,Liberty Light Rail,40.7112423,-74.0557013,54245,Customer,1970,0
889,30:33.8,45:23.5,3194,McGinley Square,40.72533993,-74.06762213,3276,Marin Light Rail,40.71458404,-74.04281706,41547,Customer,1970,0
1624,31:00.8,58:05.3,3638,Washington St,40.7242941,-74.0354826,3185,City Hall,40.7177325,-74.043845,40443,Customer,1970,0
426,31:53.0,38:59.1,3267,Morris Canal,40.71241882,-74.03852552,3202,Newport PATH,40.7272235,-74.0337589,42205,Customer,1970,0
1573,33:13.0,59:26.6,3186,Grove St PATH,40.71958612,-74.04311746,3220,5 Corners Library,40.73496102,-74.05950308,42453,Customer,1970,0
424,37:10.3,44:14.7,3280,Astor Place,40.7192822,-74.07126188,3195,Sip Ave,40.7308971,-74.06391263,39147,Customer,1970,0
626,39:48.9,50:14.9,3199,Newport Pkwy,40.7287448,-74.0321082,3186,Grove St PATH,40.71958612,-74.04311746,28012,Customer,1970,0
148,40:07.9,42:36.7,3638,Washington St,40.7242941,-74.0354826,3199,Newport Pkwy,40.7287448,-74.0321082,18220,Customer,1970,0
756,40:20.7,52:57.6,3196,Riverview Park,40.7443187,-74.0439909,3206,Hilltop,40.7311689,-74.0575736,42307,Customer,1970,0
1584,41:02.8,07:27.2,3638,Washington St,40.7242941,-74.0354826,3187,Warren St,40.7211236,-74.03805095,42138,Customer,1970,0
379,42:17.7,48:37.4,3203,Hamilton Park,40.72759597,-74.04424731,3205,JC Medical Center,40.71653978,-74.04963791,47256,Customer,1970,0
449,42:42.0,50:11.5,3205,JC Medical Center,40.71653978,-74.04963791,3187,Warren St,40.7211236,-74.03805095,44398,Customer,1970,0
687,43:37.4,55:04.7,3638,Washington St,40.7242941,-74.0354826,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,46340,Customer,1970,0
1911,44:48.2,16:40.0,3276,Marin Light Rail,40.71458404,-74.04281706,3276,Marin Light Rail,40.71458404,-74.04281706,48911,Customer,1970,0
1672,49:09.0,17:01.9,3205,JC Medical Center,40.71653978,-74.04963791,3203,Hamilton Park,40.72759597,-74.04424731,54246,Customer,1970,0
164,50:09.5,52:54.0,3639,Harborside,40.7192517,-74.034234,3184,Paulus Hook,40.7141454,-74.0335519,34039,Customer,1970,0
7598,51:11.1,57:49.4,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,41962,Customer,1970,0
7566,51:50.3,57:56.7,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,39391,Customer,1970,0
425,56:15.8,03:20.9,3199,Newport Pkwy,40.7287448,-74.0321082,3203,Hamilton Park,40.72759597,-74.04424731,42601,Customer,1970,0
535,58:05.7,07:00.8,3185,City Hall,40.7177325,-74.043845,3185,City Hall,40.7177325,-74.043845,45256,Customer,1970,0
418,58:12.4,05:10.5,3199,Newport Pkwy,40.7287448,-74.0321082,3267,Morris Canal,40.71241882,-74.03852552,18220,Customer,1970,0
1852,59:38.8,30:31.5,3220,5 Corners Library,40.73496102,-74.05950308,3220,5 Corners Library,40.73496102,-74.05950308,42453,Customer,1970,0
66,00:18.0,01:24.0,3207,Oakland Ave,40.7376037,-74.0524783,3207,Oakland Ave,40.7376037,-74.0524783,44576,Customer,1970,0
1280,00:41.1,22:01.3,3207,Oakland Ave,40.7376037,-74.0524783,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,54258,Customer,1970,0
6705,01:41.0,53:26.7,3202,Newport PATH,40.7272235,-74.0337589,3202,Newport PATH,40.7272235,-74.0337589,42205,Customer,1970,0
6701,01:47.8,53:29.2,3202,Newport PATH,40.7272235,-74.0337589,3202,Newport PATH,40.7272235,-74.0337589,54267,Customer,1970,0
1196,01:50.0,21:46.2,3207,Oakland Ave,40.7376037,-74.0524783,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,42805,Customer,1970,0
150,03:11.5,05:41.7,3186,Grove St PATH,40.71958612,-74.04311746,3186,Grove St PATH,40.71958612,-74.04311746,51536,Customer,1970,0
691,03:19.7,14:51.1,3201,Dey St,40.737711,-74.066921,3193,Lincoln Park,40.7246051,-74.07840595,46079,Customer,1970,0
485,03:31.8,11:37.4,3211,Newark Ave,40.72152515,-74.04630454,3267,Morris Canal,40.71241882,-74.03852552,42674,Customer,1970,0
663,03:50.7,14:54.6,3201,Dey St,40.737711,-74.066921,3193,Lincoln Park,40.7246051,-74.07840595,54247,Customer,1970,0
